topic	seq	lc	slug	title	diff
06_stack	010	84	largest-rectangle-in-histogram	Largest Rectangle in Histogram	Hard
06_stack	011	227	basic-calculator-ii	Basic Calculator II	Medium
06_stack	012	735	asteroid-collision	Asteroid Collision	Medium
06_stack	013	402	remove-k-digits	Remove K Digits	Medium
06_stack	014	907	sum-of-subarray-minimums	Sum of Subarray Minimums	Medium
07_queue_deque	001	232	implement-queue-using-stacks	Implement Queue using Stacks	Easy
07_queue_deque	002	225	implement-stack-using-queues	Implement Stack using Queues	Easy
07_queue_deque	003	933	number-of-recent-calls	Number of Recent Calls	Easy
07_queue_deque	004	622	design-circular-queue	Design Circular Queue	Medium
07_queue_deque	005	641	design-circular-deque	Design Circular Deque	Medium
07_queue_deque	006	862	shortest-subarray-with-sum-at-least-k	Shortest Subarray with Sum at Least K	Hard
08_linked_list	001	206	reverse-linked-list	Reverse Linked List	Easy
08_linked_list	002	21	merge-two-sorted-lists	Merge Two Sorted Lists	Easy
08_linked_list	003	141	linked-list-cycle	Linked List Cycle	Easy
08_linked_list	004	876	middle-of-the-linked-list	Middle of the Linked List	Easy
08_linked_list	005	203	remove-linked-list-elements	Remove Linked List Elements	Easy
08_linked_list	006	83	remove-duplicates-from-sorted-list	Remove Duplicates from Sorted List	Easy
08_linked_list	007	234	palindrome-linked-list	Palindrome Linked List	Easy
08_linked_list	008	143	reorder-list	Reorder List	Medium
08_linked_list	009	19	remove-nth-node-from-end-of-list	Remove Nth Node From End of List	Medium
08_linked_list	010	138	copy-list-with-random-pointer	Copy List with Random Pointer	Medium
08_linked_list	011	2	add-two-numbers	Add Two Numbers	Medium
08_linked_list	012	287	find-the-duplicate-number	Find the Duplicate Number	Medium
08_linked_list	013	146	lru-cache	LRU Cache	Medium
08_linked_list	014	23	merge-k-sorted-lists	Merge k Sorted Lists	Hard
08_linked_list	015	25	reverse-nodes-in-k-group	Reverse Nodes in k-Group	Hard
09_recursion_backtracking	001	509	fibonacci-number	Fibonacci Number	Easy
09_recursion_backtracking	002	78	subsets	Subsets	Medium
09_recursion_backtracking	003	90	subsets-ii	Subsets II	Medium
09_recursion_backtracking	004	46	permutations	Permutations	Medium
09_recursion_backtracking	005	47	permutations-ii	Permutations II	Medium
09_recursion_backtracking	006	77	combinations	Combinations	Medium
09_recursion_backtracking	007	39	combination-sum	Combination Sum	Medium
09_recursion_backtracking	008	40	combination-sum-ii	Combination Sum II	Medium
09_recursion_backtracking	009	216	combination-sum-iii	Combination Sum III	Medium
09_recursion_backtracking	010	17	letter-combinations-of-a-phone-number	Letter Combinations of a Phone Number	Medium
09_recursion_backtracking	011	131	palindrome-partitioning	Palindrome Partitioning	Medium
09_recursion_backtracking	012	79	word-search	Word Search	Medium
09_recursion_backtracking	013	51	n-queens	N-Queens	Hard
09_recursion_backtracking	014	37	sudoku-solver	Sudoku Solver	Hard
10_trees	001	144	binary-tree-preorder-traversal	Binary Tree Preorder Traversal	Easy
10_trees	002	94	binary-tree-inorder-traversal	Binary Tree Inorder Traversal	Easy
10_trees	003	145	binary-tree-postorder-traversal	Binary Tree Postorder Traversal	Easy
10_trees	004	226	invert-binary-tree	Invert Binary Tree	Easy
10_trees	005	104	maximum-depth-of-binary-tree	Maximum Depth of Binary Tree	Easy
10_trees	006	111	minimum-depth-of-binary-tree	Minimum Depth of Binary Tree	Easy
10_trees	007	100	same-tree	Same Tree	Easy
10_trees	008	572	subtree-of-another-tree	Subtree of Another Tree	Easy
10_trees	009	110	balanced-binary-tree	Balanced Binary Tree	Easy
10_trees	010	543	diameter-of-binary-tree	Diameter of Binary Tree	Easy
10_trees	011	112	path-sum	Path Sum	Easy
10_trees	012	101	symmetric-tree	Symmetric Tree	Easy
10_trees	013	102	binary-tree-level-order-traversal	Binary Tree Level Order Traversal	Medium
10_trees	014	199	binary-tree-right-side-view	Binary Tree Right Side View	Medium
10_trees	015	1448	count-good-nodes-in-binary-tree	Count Good Nodes in Binary Tree	Medium
10_trees	016	105	construct-binary-tree-from-preorder-and-inorder-traversal	Construct Binary Tree from Preorder and Inorder Traversal	Medium
10_trees	017	236	lowest-common-ancestor-of-a-binary-tree	Lowest Common Ancestor of a Binary Tree	Medium
10_trees	018	124	binary-tree-maximum-path-sum	Binary Tree Maximum Path Sum	Hard
10_trees	019	297	serialize-and-deserialize-binary-tree	Serialize and Deserialize Binary Tree	Hard
10_trees	020	863	all-nodes-distance-k-in-binary-tree	All Nodes Distance K in Binary Tree	Medium
11_binary_search_tree	001	700	search-in-a-binary-search-tree	Search in a Binary Search Tree	Easy
11_binary_search_tree	002	108	convert-sorted-array-to-binary-search-tree	Convert Sorted Array to Binary Search Tree	Easy
11_binary_search_tree	003	701	insert-into-a-binary-search-tree	Insert into a Binary Search Tree	Medium
11_binary_search_tree	004	450	delete-node-in-a-bst	Delete Node in a BST	Medium
11_binary_search_tree	005	235	lowest-common-ancestor-of-a-binary-search-tree	Lowest Common Ancestor of a Binary Search Tree	Medium
11_binary_search_tree	006	98	validate-binary-search-tree	Validate Binary Search Tree	Medium
11_binary_search_tree	007	230	kth-smallest-element-in-a-bst	Kth Smallest Element in a BST	Medium
11_binary_search_tree	008	173	binary-search-tree-iterator	Binary Search Tree Iterator	Medium
11_binary_search_tree	009	99	recover-binary-search-tree	Recover Binary Search Tree	Hard
11_binary_search_tree	010	285	inorder-successor-in-bst	Inorder Successor in BST	Medium
11_binary_search_tree	011	530	minimum-absolute-difference-in-bst	Minimum Absolute Difference in BST	Easy
12_heap_priority_queue	001	703	kth-largest-element-in-a-stream	Kth Largest Element in a Stream	Easy
12_heap_priority_queue	002	1046	last-stone-weight	Last Stone Weight	Easy
12_heap_priority_queue	003	973	k-closest-points-to-origin	K Closest Points to Origin	Medium
12_heap_priority_queue	004	215	kth-largest-element-in-an-array	Kth Largest Element in an Array	Medium
12_heap_priority_queue	005	621	task-scheduler	Task Scheduler	Medium
12_heap_priority_queue	006	355	design-twitter	Design Twitter	Medium
12_heap_priority_queue	007	767	reorganize-string	Reorganize String	Medium
12_heap_priority_queue	008	1834	single-threaded-cpu	Single-Threaded CPU	Medium
12_heap_priority_queue	009	295	find-median-from-data-stream	Find Median from Data Stream	Hard
12_heap_priority_queue	010	1851	minimum-interval-to-include-each-query	Minimum Interval to Include Each Query	Hard
12_heap_priority_queue	011	502	ipo	IPO	Hard
12_heap_priority_queue	012	480	sliding-window-median	Sliding Window Median	Hard
13_trie	001	208	implement-trie-prefix-tree	Implement Trie (Prefix Tree)	Medium
13_trie	002	211	design-add-and-search-words-data-structure	Design Add and Search Words Data Structure	Medium
13_trie	003	648	replace-words	Replace Words	Medium
13_trie	004	677	map-sum-pairs	Map Sum Pairs	Medium
13_trie	005	421	maximum-xor-of-two-numbers-in-an-array	Maximum XOR of Two Numbers in an Array	Medium
13_trie	006	212	word-search-ii	Word Search II	Hard
13_trie	007	1268	search-suggestions-system	Search Suggestions System	Medium
14_graphs	001	733	flood-fill	Flood Fill	Easy
14_graphs	002	200	number-of-islands	Number of Islands	Medium
14_graphs	003	695	max-area-of-island	Max Area of Island	Medium
14_graphs	004	133	clone-graph	Clone Graph	Medium
14_graphs	005	286	walls-and-gates	Walls and Gates	Medium
14_graphs	006	994	rotting-oranges	Rotting Oranges	Medium
14_graphs	007	417	pacific-atlantic-water-flow	Pacific Atlantic Water Flow	Medium
14_graphs	008	130	surrounded-regions	Surrounded Regions	Medium
14_graphs	009	323	number-of-connected-components-in-an-undirected-graph	Number of Connected Components in an Undirected Graph	Medium
14_graphs	010	261	graph-valid-tree	Graph Valid Tree	Medium
14_graphs	011	207	course-schedule	Course Schedule	Medium
14_graphs	012	210	course-schedule-ii	Course Schedule II	Medium
14_graphs	013	684	redundant-connection	Redundant Connection	Medium
14_graphs	014	542	01-matrix	01 Matrix	Medium
14_graphs	015	1091	shortest-path-in-binary-matrix	Shortest Path in Binary Matrix	Medium
14_graphs	016	127	word-ladder	Word Ladder	Hard
14_graphs	017	785	is-graph-bipartite	Is Graph Bipartite?	Medium
14_graphs	018	752	open-the-lock	Open the Lock	Medium
15_advanced_graphs	001	547	number-of-provinces	Number of Provinces	Medium
15_advanced_graphs	002	990	satisfiability-of-equality-equations	Satisfiability of Equality Equations	Medium
15_advanced_graphs	003	743	network-delay-time	Network Delay Time	Medium
15_advanced_graphs	004	787	cheapest-flights-within-k-stops	Cheapest Flights Within K Stops	Medium
15_advanced_graphs	005	1584	min-cost-to-connect-all-points	Min Cost to Connect All Points	Medium
15_advanced_graphs	006	1631	path-with-minimum-effort	Path With Minimum Effort	Medium
15_advanced_graphs	007	1462	course-schedule-iv	Course Schedule IV	Medium
15_advanced_graphs	008	778	swim-in-rising-water	Swim in Rising Water	Hard
15_advanced_graphs	009	269	alien-dictionary	Alien Dictionary	Hard
15_advanced_graphs	010	332	reconstruct-itinerary	Reconstruct Itinerary	Hard
15_advanced_graphs	011	1489	find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree	Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree	Hard
15_advanced_graphs	012	1192	critical-connections-in-a-network	Critical Connections in a Network	Hard
15_advanced_graphs	013	721	accounts-merge	Accounts Merge	Medium
15_advanced_graphs	014	399	evaluate-division	Evaluate Division	Medium
15_advanced_graphs	015	1368	minimum-cost-to-make-at-least-one-valid-path-in-a-grid	Minimum Cost to Make at Least One Valid Path in a Grid	Hard
16_dp_1d	001	1137	n-th-tribonacci-number	N-th Tribonacci Number	Easy
16_dp_1d	002	70	climbing-stairs	Climbing Stairs	Easy
16_dp_1d	003	746	min-cost-climbing-stairs	Min Cost Climbing Stairs	Easy
16_dp_1d	004	118	pascals-triangle	Pascal's Triangle	Easy
16_dp_1d	005	198	house-robber	House Robber	Medium
16_dp_1d	006	213	house-robber-ii	House Robber II	Medium
16_dp_1d	007	5	longest-palindromic-substring	Longest Palindromic Substring	Medium
16_dp_1d	008	647	palindromic-substrings	Palindromic Substrings	Medium
16_dp_1d	009	91	decode-ways	Decode Ways	Medium
16_dp_1d	010	322	coin-change	Coin Change	Medium
16_dp_1d	011	152	maximum-product-subarray	Maximum Product Subarray	Medium
16_dp_1d	012	139	word-break	Word Break	Medium
16_dp_1d	013	300	longest-increasing-subsequence	Longest Increasing Subsequence	Medium
16_dp_1d	014	416	partition-equal-subset-sum	Partition Equal Subset Sum	Medium
16_dp_1d	015	377	combination-sum-iv	Combination Sum IV	Medium
16_dp_1d	016	279	perfect-squares	Perfect Squares	Medium
16_dp_1d	017	354	russian-doll-envelopes	Russian Doll Envelopes	Hard
17_dp_2d	001	62	unique-paths	Unique Paths	Medium
17_dp_2d	002	63	unique-paths-ii	Unique Paths II	Medium
17_dp_2d	003	64	minimum-path-sum	Minimum Path Sum	Medium
17_dp_2d	004	221	maximal-square	Maximal Square	Medium
17_dp_2d	005	1143	longest-common-subsequence	Longest Common Subsequence	Medium
17_dp_2d	006	309	best-time-to-buy-and-sell-stock-with-cooldown	Best Time to Buy and Sell Stock with Cooldown	Medium
17_dp_2d	007	518	coin-change-ii	Coin Change II	Medium
17_dp_2d	008	494	target-sum	Target Sum	Medium
17_dp_2d	009	97	interleaving-string	Interleaving String	Medium
17_dp_2d	010	72	edit-distance	Edit Distance	Medium
17_dp_2d	011	329	longest-increasing-path-in-a-matrix	Longest Increasing Path in a Matrix	Hard
17_dp_2d	012	115	distinct-subsequences	Distinct Subsequences	Hard
17_dp_2d	013	312	burst-balloons	Burst Balloons	Hard
17_dp_2d	014	10	regular-expression-matching	Regular Expression Matching	Hard
17_dp_2d	015	516	longest-palindromic-subsequence	Longest Palindromic Subsequence	Medium
17_dp_2d	016	847	shortest-path-visiting-all-nodes	Shortest Path Visiting All Nodes	Hard
17_dp_2d	017	902	numbers-at-most-n-given-digit-set	Numbers At Most N Given Digit Set	Hard
17_dp_2d	018	2376	count-special-integers	Count Special Integers	Hard
18_greedy	001	1005	maximize-sum-of-array-after-k-negations	Maximize Sum Of Array After K Negations	Easy
18_greedy	002	53	maximum-subarray	Maximum Subarray	Medium
18_greedy	003	55	jump-game	Jump Game	Medium
18_greedy	004	45	jump-game-ii	Jump Game II	Medium
18_greedy	005	134	gas-station	Gas Station	Medium
18_greedy	006	122	best-time-to-buy-and-sell-stock-ii	Best Time to Buy and Sell Stock II	Medium
18_greedy	007	846	hand-of-straights	Hand of Straights	Medium
18_greedy	008	1899	merge-triplets-to-form-target-triplet	Merge Triplets to Form Target Triplet	Medium
18_greedy	009	763	partition-labels	Partition Labels	Medium
18_greedy	010	678	valid-parenthesis-string	Valid Parenthesis String	Medium
19_intervals	001	252	meeting-rooms	Meeting Rooms	Easy
19_intervals	002	56	merge-intervals	Merge Intervals	Medium
19_intervals	003	57	insert-interval	Insert Interval	Medium
19_intervals	004	435	non-overlapping-intervals	Non-overlapping Intervals	Medium
19_intervals	005	253	meeting-rooms-ii	Meeting Rooms II	Medium
19_intervals	006	986	interval-list-intersections	Interval List Intersections	Medium
19_intervals	007	452	minimum-number-of-arrows-to-burst-balloons	Minimum Number of Arrows to Burst Balloons	Medium
19_intervals	008	759	employee-free-time	Employee Free Time	Hard
19_intervals	009	1094	car-pooling	Car Pooling	Medium
19_intervals	010	729	my-calendar-i	My Calendar I	Medium
19_intervals	011	731	my-calendar-ii	My Calendar II	Medium
20_bit_manipulation	001	136	single-number	Single Number	Easy
20_bit_manipulation	002	191	number-of-1-bits	Number of 1 Bits	Easy
20_bit_manipulation	003	338	counting-bits	Counting Bits	Easy
20_bit_manipulation	004	190	reverse-bits	Reverse Bits	Easy
20_bit_manipulation	005	268	missing-number	Missing Number	Easy
20_bit_manipulation	006	371	sum-of-two-integers	Sum of Two Integers	Medium
20_bit_manipulation	007	7	reverse-integer	Reverse Integer	Medium
20_bit_manipulation	008	137	single-number-ii	Single Number II	Medium
20_bit_manipulation	009	260	single-number-iii	Single Number III	Medium
20_bit_manipulation	010	201	bitwise-and-of-numbers-range	Bitwise AND of Numbers Range	Medium
21_math_geometry	001	9	palindrome-number	Palindrome Number	Easy
21_math_geometry	002	66	plus-one	Plus One	Easy
21_math_geometry	003	202	happy-number	Happy Number	Easy
21_math_geometry	004	50	powx-n	Pow(x, n)	Medium
21_math_geometry	005	43	multiply-strings	Multiply Strings	Medium
21_math_geometry	006	12	integer-to-roman	Integer to Roman	Medium
21_math_geometry	007	172	factorial-trailing-zeroes	Factorial Trailing Zeroes	Medium
21_math_geometry	008	204	count-primes	Count Primes	Medium
21_math_geometry	009	2013	detect-squares	Detect Squares	Medium
21_math_geometry	010	149	max-points-on-a-line	Max Points on a Line	Hard
22_sorting_algorithms	001	88	merge-sorted-array	Merge Sorted Array	Easy
22_sorting_algorithms	002	912	sort-an-array	Sort an Array	Medium
22_sorting_algorithms	003	75	sort-colors	Sort Colors	Medium
22_sorting_algorithms	004	148	sort-list	Sort List	Medium
22_sorting_algorithms	005	179	largest-number	Largest Number	Medium
22_sorting_algorithms	006	274	h-index	H-Index	Medium
22_sorting_algorithms	007	164	maximum-gap	Maximum Gap	Hard
22_sorting_algorithms	008	315	count-of-smaller-numbers-after-self	Count of Smaller Numbers After Self	Hard
23_string_algorithms	001	28	find-the-index-of-the-first-occurrence-in-a-string	Find the Index of the First Occurrence in a String	Easy
23_string_algorithms	002	459	repeated-substring-pattern	Repeated Substring Pattern	Easy
23_string_algorithms	003	8	string-to-integer-atoi	String to Integer (atoi)	Medium
23_string_algorithms	004	187	repeated-dna-sequences	Repeated DNA Sequences	Medium
23_string_algorithms	005	686	repeated-string-match	Repeated String Match	Medium
23_string_algorithms	006	214	shortest-palindrome	Shortest Palindrome	Hard
23_string_algorithms	007	1044	longest-duplicate-substring	Longest Duplicate Substring	Hard
23_string_algorithms	008	336	palindrome-pairs	Palindrome Pairs	Hard
24_matrix	001	867	transpose-matrix	Transpose Matrix	Easy
24_matrix	002	48	rotate-image	Rotate Image	Medium
24_matrix	003	54	spiral-matrix	Spiral Matrix	Medium
24_matrix	004	59	spiral-matrix-ii	Spiral Matrix II	Medium
24_matrix	005	73	set-matrix-zeroes	Set Matrix Zeroes	Medium
24_matrix	006	240	search-a-2d-matrix-ii	Search a 2D Matrix II	Medium
24_matrix	007	289	game-of-life	Game of Life	Medium
24_matrix	008	498	diagonal-traverse	Diagonal Traverse	Medium
25_design	001	705	design-hashset	Design HashSet	Easy
25_design	002	706	design-hashmap	Design HashMap	Easy
25_design	003	359	logger-rate-limiter	Logger Rate Limiter	Easy
25_design	004	707	design-linked-list	Design Linked List	Medium
25_design	005	380	insert-delete-getrandom-o1	Insert Delete GetRandom O(1)	Medium
25_design	006	1472	design-browser-history	Design Browser History	Medium
25_design	007	353	design-snake-game	Design Snake Game	Medium
25_design	008	460	lfu-cache	LFU Cache	Hard
25_design	009	588	design-in-memory-file-system	Design In-Memory File System	Hard
25_design	010	642	design-search-autocomplete-system	Design Search Autocomplete System	Hard
25_design	011	362	design-hit-counter	Design Hit Counter	Medium
25_design	012	1146	snapshot-array	Snapshot Array	Medium
25_design	013	2034	stock-price-fluctuation	Stock Price Fluctuation	Medium
26_segment_tree_fenwick	001	307	range-sum-query-mutable	Range Sum Query - Mutable	Medium
26_segment_tree_fenwick	002	308	range-sum-query-2d-mutable	Range Sum Query 2D - Mutable	Hard
26_segment_tree_fenwick	003	493	reverse-pairs	Reverse Pairs	Hard
26_segment_tree_fenwick	004	327	count-of-range-sum	Count of Range Sum	Hard
26_segment_tree_fenwick	005	699	falling-squares	Falling Squares	Hard
26_segment_tree_fenwick	006	218	the-skyline-problem	The Skyline Problem	Hard
27_algorithms	001	384	shuffle-an-array	Shuffle an Array	Medium
27_algorithms	002	398	random-pick-index	Random Pick Index	Medium
27_algorithms	003	382	linked-list-random-node	Linked List Random Node	Medium
27_algorithms	004	528	random-pick-with-weight	Random Pick with Weight	Medium
27_algorithms	005	324	wiggle-sort-ii	Wiggle Sort II	Medium
27_algorithms	006	241	different-ways-to-add-parentheses	Different Ways to Add Parentheses	Medium
27_algorithms	007	1985	find-the-kth-largest-integer-in-a-string	Find the Kth Largest Integer in a String	Medium
27_algorithms	008	710	random-pick-with-blacklist	Random Pick with Blacklist	Hard
28_recursion_backtracking	001	1342	number-of-steps-to-reduce-a-number-to-zero	Number of Steps to Reduce a Number to Zero	Easy
28_recursion_backtracking	002	344	reverse-string	Reverse String	Easy
28_recursion_backtracking	003	258	add-digits	Add Digits	Easy
28_recursion_backtracking	004	231	power-of-two	Power of Two	Easy
28_recursion_backtracking	005	326	power-of-three	Power of Three	Easy
28_recursion_backtracking	006	119	pascals-triangle-ii	Pascal's Triangle II	Easy
28_recursion_backtracking	007	24	swap-nodes-in-pairs	Swap Nodes in Pairs	Medium
28_recursion_backtracking	008	92	reverse-linked-list-ii	Reverse Linked List II	Medium
28_recursion_backtracking	009	341	flatten-nested-list-iterator	Flatten Nested List Iterator	Medium
28_recursion_backtracking	010	445	add-two-numbers-ii	Add Two Numbers II	Medium
28_recursion_backtracking	011	96	unique-binary-search-trees	Unique Binary Search Trees	Medium
28_recursion_backtracking	012	95	unique-binary-search-trees-ii	Unique Binary Search Trees II	Medium
28_recursion_backtracking	013	129	sum-root-to-leaf-numbers	Sum Root to Leaf Numbers	Medium
28_recursion_backtracking	014	337	house-robber-iii	House Robber III	Medium
28_recursion_backtracking	015	894	all-possible-full-binary-trees	All Possible Full Binary Trees	Medium
28_recursion_backtracking	016	372	super-pow	Super Pow	Medium
28_recursion_backtracking	017	776	split-bst	Split BST	Medium
28_recursion_backtracking	018	979	distribute-coins-in-binary-tree	Distribute Coins in Binary Tree	Medium
28_recursion_backtracking	019	1123	lowest-common-ancestor-of-deepest-leaves	Lowest Common Ancestor of Deepest Leaves	Medium
28_recursion_backtracking	020	1130	minimum-cost-tree-from-leaf-values	Minimum Cost Tree From Leaf Values	Medium
28_recursion_backtracking	021	1028	recover-a-tree-from-preorder-traversal	Recover a Tree From Preorder Traversal	Hard
28_recursion_backtracking	022	761	special-binary-string	Special Binary String	Hard
28_recursion_backtracking	023	87	scramble-string	Scramble String	Hard
28_recursion_backtracking	024	282	expression-add-operators	Expression Add Operators	Hard
28_recursion_backtracking	025	968	binary-tree-cameras	Binary Tree Cameras	Hard
27_algorithms	009	470	implement-rand10-using-rand7	Implement Rand10() Using Rand7()	Medium
